SEQ_ID	HMT_ID	Genus	Species	Strain	Contigs	Combined_Size	Habitat	Sequence_Source
SEQF2357	278	Porphyromonas	sp. HMT 278	W7784	38	2158216	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/855/GCA_000467855.2_ASM46785v2
SEQF2361	644	Streptococcus	intermedius	JTH08	1	1933610	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/805/GCA_000306805.1_ASM30680v1
SEQF2363	644	Streptococcus	intermedius	ATCC 27335	10	1951449	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/475/GCA_000413475.1_Stre_inte_ATCC_27335_V1
SEQF2364	161	Veillonella	parvula	ATCC 17745	19	2163473	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/435/GCA_000177435.1_ASM17743v1
SEQF2366	619	Porphyromonas	gingivalis	F0568	154	2334744	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/795/GCA_000467795.1_ASM46779v1
SEQF2367	862	Bifidobacterium	longum	subsp. longum 1-6B	171	2686768	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/245/GCA_000261245.1_Blongum16Bv1.0
SEQF2368	862	Bifidobacterium	longum	subsp. longum 2-2B	141	2625697	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/205/GCA_000261205.1_Blongum22Bv1.0
SEQF2369	862	Bifidobacterium	longum	subsp. longum 35B	131	2514431	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/225/GCA_000261225.1_Blongum35Bv1.0
SEQF2370	862	Bifidobacterium	longum	subsp. longum 44B	62	2559217	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/265/GCA_000261265.1_Blongum44Bv1.0
SEQF2374	804	Lactococcus	lactis	CNCM I-1631	131	2511332	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/735/GCA_000284735.1_ASM28473v1
SEQF2375	616	Mycoplasma	genitalium	M2288	1	579558	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/505/GCA_000292505.1_ASM29250v1
SEQF2376	616	Mycoplasma	genitalium	M2321	1	579977	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/405/GCA_000292405.1_ASM29240v1
SEQF2377	616	Mycoplasma	genitalium	M6282	1	579504	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/445/GCA_000292445.1_ASM29244v1
SEQF2378	616	Mycoplasma	genitalium	M6320	1	579796	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/485/GCA_000292485.1_ASM29248v1
SEQF2380	556	Prevotella	bivia	DSM 20514	3	2521238	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/545/GCA_000262545.1_ASM26254v1
SEQF2381	612	Pseudomonas	fluorescens	SS101	1	6179543	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/675/GCA_000263675.2_ASM26367v2
SEQF2382	477	Pseudomonas	stutzeri	CCUG 29243	1	4709064	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/267/545/GCA_000267545.1_ASM26754v1
SEQF2383	601	Staphylococcus	epidermidis	VCU028	61	2449850	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/205/405/GCA_000205405.2_ASM20540v2
SEQF2384	745	Streptococcus	pyogenes	NS88.2	298	1720933	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/315/GCA_000263315.1_SPNS88.2
SEQF2385	852	Actinomyces	massiliensis	4401292	13	3371034	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/805/GCA_000269805.1_ASM26980v1
SEQF2386	176	Actinomyces	naeslundii	str. Howell 279	243	3114341	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/995/GCA_000285995.1_AneasH279v1.0
SEQF2387	700	Capnocytophaga	ochracea	str. Holt 25	42	2653757	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/585/GCA_000277585.1_CochraceaHolt25v1.0
SEQF2388	591	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011	34	2380361	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/415/GCA_000263415.1_ASM26341v1
SEQF2389	690	Fusobacterium	necrophorum	subsp. funduliforme Fnf 1007	87	2166823	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/975/GCA_000292975.1_FnecroFnf1007v1.0
SEQF2391	586	Parascardovia	denticolens	IPLA 20019	38	2003311	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/845/GCA_000269845.1_ASM26984v1
SEQF2392	619	Porphyromonas	gingivalis	W50	104	2242062	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/945/GCA_000271945.1_PgingivalisW50v1.0
SEQF2393	676	Proteus	mirabilis	WGLW4	2	3960485	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/835/GCA_000297835.1_Prot_mira_WGLW4_V1
SEQF2394	676	Proteus	mirabilis	WGLW6	8	4101891	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/815/GCA_000297815.1_Prot_mira_WGLW6_V1
SEQF2395	663	Stenotrophomonas	maltophilia	Ab55555	6	4918930	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/935/GCA_000287935.1_Sten_malt_Ab55555_V1
SEQF2397	543	Streptococcus	anginosus	SK1138	13	1958191	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/595/GCA_000287595.1_SanginSK1138v1.0
SEQF2398	638	Streptococcus	infantis clade 638	SPAR10	10	1758646	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/279/535/GCA_000279535.1_ASM27953v1
SEQF2399	707	Streptococcus	oralis subsp. oralis	SK304	25	2020585	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/715/GCA_000287715.1_SoralisSK304v1.0
SEQF2400	755	Streptococcus	salivarius	K12	7	2426359	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/295/GCA_000286295.1_SsalK12v1
SEQF2406	201	Fusobacterium	periodonticum	D10	150	2574015	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/655/GCA_000297655.1_Fuso_PO_Taxon_201_D10_V1
SEQF2407	832	Turicella	otitidis	ATCC 51513	6	2118285	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/405/GCA_000296405.1_Turi_otit_ATCC_51513_V1
SEQF2408	571	Burkholderia	cepacia	GG4	2	6467321	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/915/GCA_000292915.1_ASM29291v1
SEQF2409	812	Helicobacter	pylori	India7	1	1675918	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/185/GCA_000185185.1_ASM18518v1
SEQF2410	812	Helicobacter	pylori	Lithuania75	2	1640673	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/225/GCA_000185225.1_ASM18522v1
SEQF2411	559	Afipia	broomeae	ATCC 49717	4	5261968	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/675/GCA_000314675.2_Afip_broo_ATCC_49717_V1
SEQF2412	831	Alloiococcus	otitis	ATCC 51267	8	1806596	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/445/GCA_000315445.1_Allo_otit_ATCC_51267_V1
SEQF2413	889	Bifidobacterium	breve	CECT 7263	34	2314396	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/755/GCA_000247755.2_ASM24775v2
SEQF2415	889	Bifidobacterium	breve	DSM 20213 = JCM 1192	103	2331386	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/015/GCA_000158015.1_ASM15801v1
SEQF2416	763	Campylobacter	showae	CSUNSWCD	23	2125173	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/615/GCA_000313615.1_Velvet_assembly_of_Campylobacter_showae_CSUNSWCD
SEQF2417	880	Enterococcus	durans	FB129-CNAB4	9	2725994	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/405/GCA_000315405.1_Ente_dura_FB129-CNAB4_V1
SEQF2418	881	Lactobacillus	buchneri	ATCC 11577	104	2906028	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/195/GCA_000159195.1_ASM15919v1
SEQF2419	883	Lactobacillus	pentosus	KCA1	1	3426323	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/445/GCA_000271445.1_KCA1_v9
SEQF2420	817	Lactobacillus	crispatus	FB077-07	10	2699381	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/135/GCA_000301135.1_Lact_cris_FB077-07_V1
SEQF2421	817	Lactobacillus	crispatus	FB049-03	5	2459384	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/115/GCA_000301115.1_Lact_cris_FB049-03_V1
SEQF2422	614	Lysinibacillus	fusiformis	ZB2	58	4549529	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/955/GCA_000313955.2_Lfzb2dn
SEQF2423	740	Pseudomonas	pseudoalcaligenes	CECT 5344	1	4686340	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/075/GCA_000297075.2_Ppseudo_final
SEQF2424	644	Streptococcus	intermedius	BA1	48	1965880	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/655/GCA_000313655.1_contig
SEQF2425	889	Bifidobacterium	breve	ACS-071-V-Sch8b	1	2327492	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/865/GCA_000213865.1_ASM21386v1
SEQF2426	889	Bifidobacterium	breve	UCC2003	1	2422684	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/135/GCA_000220135.1_ASM22013v1
SEQF2427	881	Lactobacillus	buchneri	CD034	4	2563168	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/115/GCA_000298115.2_ASM29811v2
SEQF2428	881	Lactobacillus	buchneri	NRRL B-30929	4	2588309	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/375/GCA_000211375.1_ASM21137v1
SEQF2429	805	Treponema	pallidum	subsp. pallidum str. Mexico A	1	1140038	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/295/GCA_000304295.1_ASM30429v1
SEQF2430	172	Schaalia	sp. HMT 172	F0311	215	2469990	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/265/GCA_000466265.1_ASM46626v1
SEQF2431	893	Actinomyces	oris	K20	771	2872429	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/155/GCA_000180155.1_ASM18015v1
SEQF2434	623	Campylobacter	gracilis	RM3268	33	2255573	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/875/GCA_000175875.1_ASM17587v1
SEQF2435	662	Finegoldia	magna	ATCC 29328	2	1986740	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/185/GCA_000010185.1_ASM1018v1
SEQF2436	531	Aggregatibacter	actinomycetemcomitans	serotype a str. A160	118	2256834	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/915/GCA_000332915.2_AaA160v2.0
SEQF2437	531	Aggregatibacter	actinomycetemcomitans	serotype b str. S23A	44	2170434	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/955/GCA_000332955.2_AaS23Av2.0
SEQF2438	531	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC4092	31	2099572	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/935/GCA_000332935.2_AaSCC4092v2.0
SEQF2439	531	Aggregatibacter	actinomycetemcomitans	serotype c str. AAS4A	28	2126064	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/895/GCA_000332895.2_AaAAS4av2.0
SEQF2440	853	Corynebacterium	urealyticum	DSM 7111	1	2316065	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/095/GCA_000338095.1_ASM33809v1
SEQF2441	861	Lactobacillus	plantarum	ZJ316	4	3299755	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/115/GCA_000338115.2_ASM33811v2
SEQF2442	76	Staphylococcus	warneri	SG1	9	2560716	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/735/GCA_000332735.1_ASM33273v1
SEQF2443	113	Peptoniphilaceae [G-1]	bacterium HMT 113	W5053	129	2088253	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/935/GCA_000467935.1_ASM46793v1
SEQF2444	215	Leptotrichia	sp. HMT 215	W9775	54	2308492	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/505/GCA_000469505.1_ASM46950v1
SEQF2445	458	Aggregatibacter	sp. HMT 458	W10330	45	2016624	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/335/GCA_000466335.1_ASM46633v1
SEQF2446	131	Mitsuokella	sp. HMT 131	W9106	25	2313357	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/545/GCA_000469545.1_ASM46954v1
SEQF2447	619	Porphyromonas	gingivalis	W4087	114	2216597	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/995/GCA_000467995.1_ASM46799v1
SEQF2448	78	Oribacterium	sp. HMT 078	F0263	69	2694758	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/565/GCA_000469565.1_ASM46956v1
SEQF2449	849	Actinomyces	johnsonii	F0542	266	3327711	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/245/GCA_000466245.1_ASM46624v1
SEQF2450	866	Actinomyces	graevenitzii	F0530	29	2090952	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/185/GCA_000466185.1_ASM46618v1
SEQF2451	198	Alloscardovia	omnicolens	F0580	16	1791870	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/365/GCA_000466365.1_ASM46636v1
SEQF2452	225	Leptotrichia	sp. HMT 225	F0581	174	2400083	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/525/GCA_000469525.1_ASM46952v1
SEQF2453	787	Bacteroides	pyogenes	F0041	120	3568174	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/505/GCA_000466505.1_ASM46650v1
SEQF2454	892	Selenomonas	sp. HMT 892	F0426	40	2314792	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/035/GCA_000468035.1_ASM46803v1
SEQF2455	810	Atopobium	sp. HMT 810	F0209	38	1947547	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/405/GCA_000466405.1_ASM46640v1
SEQF2456	876	Clostridiales [F-3][G-1]	bacterium HMT 876	F0540	57	4767532	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/585/GCA_000466585.1_ASM46658v1
SEQF2457	619	Porphyromonas	gingivalis	F0185	113	2246368	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/955/GCA_000467955.1_ASM46795v1
SEQF2458	619	Porphyromonas	gingivalis	F0566	192	2306092	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/975/GCA_000467975.1_ASM46797v1
SEQF2460	555	Gemella	bergeri	ATCC 700627	89	1604508	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/465/GCA_000469465.1_ASM46946v1
SEQF2461	658	Prevotella	loescheii	DSM 19665 = JCM 12249 = ATCC 15930	31	3508589	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/378/085/GCA_000378085.1_ASM37808v1
SEQF2462	653	Treponema	lecithinolyticum	ATCC 700332	21	2340885	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/055/GCA_000468055.1_ASM46805v1
SEQF2463	895	Bifidobacterium	animalis	ATCC 25527	1	1932693	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/715/GCA_000260715.1_ASM26071v1
SEQF2464	895	Bifidobacterium	animalis	CNCM I-2494	1	1943113	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/885/GCA_000220885.1_ASM22088v1
SEQF2465	895	Bifidobacterium	animalis	AD011	1	1933695	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/425/GCA_000021425.1_ASM2142v1
SEQF2466	895	Bifidobacterium	animalis	B420	1	1938595	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/325/GCA_000277325.1_ASM27732v1
SEQF2467	895	Bifidobacterium	animalis	BB-12	1	1942198	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/245/GCA_000025245.1_ASM2524v1
SEQF2468	895	Bifidobacterium	animalis	Bi-07	1	1938822	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/345/GCA_000277345.1_ASM27734v1
SEQF2469	895	Bifidobacterium	animalis	Bl-04	1	1938709	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/705/GCA_000022705.1_ASM2270v1
SEQF2470	895	Bifidobacterium	animalis	BLC1	1	1938583	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/965/GCA_000224965.2_ASM22496v2
SEQF2471	895	Bifidobacterium	animalis	DSM 10140	1	1938483	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/965/GCA_000022965.1_ASM2296v1
SEQF2472	895	Bifidobacterium	animalis	V9	1	1944050	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/765/GCA_000092765.1_ASM9276v1
SEQF2473	804	Lactococcus	lactis	IO-1	1	2421471	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/575/GCA_000344575.1_ASM34457v1
SEQF2474	895	Bifidobacterium	animalis	BS 01	2	1932595	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/765/GCA_000240765.1_BifAniBS01_1.0
SEQF2475	895	Bifidobacterium	animalis	HN019	28	1915892	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/535/GCA_000172535.1_Blac_1.0
SEQF2476	763	Campylobacter	showae	CC57C	273	2187351	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/295/GCA_000344295.2_velvet
SEQF2477	569	Eggerthia	catenaformis	OT 569 = DSM 20559	8	1945158	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/375/GCA_000340375.1_Lact_cate_OT_569_V1
SEQF2478	663	Stenotrophomonas	maltophilia	EPM1	1	4787769	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/215/GCA_000344215.1_EPM1_1.0
SEQF2479	758	Streptococcus	sanguinis	VMC66	5	2319451	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/275/GCA_000188275.1_ASM18827v1
SEQF2481	419	Stomatobaculum	longum	ACC2	5	2313632	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/235/GCA_000242235.1_Lach_bact_ACC2_V1
SEQF2482	485	Agrobacterium	tumefaciens	str. Cherry 2E-2-2	112	5425293	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/865/GCA_000349865.1_Cherry1.0
SEQF2483	674	Atopobium	minutum	10063974	2	1706966	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/325/GCA_000364325.1_Atop_minu_V1
SEQF2484	880	Enterococcus	durans	IPLA 655	145	3059052	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/465/GCA_000350465.1_Edurans6552.0
SEQF2485	41	Desulfobulbus	sp. HMT 041	Dsb2	162	676885	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/365/GCA_000349365.1_Dsb2
SEQF2486	41	Desulfobulbus	sp. HMT 041	Dsb3	210	736505	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/345/GCA_000349345.1_Dsb3
SEQF2487	597	Bradyrhizobium	elkanii	USDA 76	2	9484767	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/379/145/GCA_000379145.1_ASM37914v1
SEQF2488	580	Campylobacter	curvus	DSM 6644	8	1954904	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/325/GCA_000376325.1_ASM37632v1
SEQF2490	484	Erysipelothrix	tonsillarum	DSM 14972	4	1931022	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/373/785/GCA_000373785.1_ASM37378v1
SEQF2491	829	Gardnerella	vaginalis	1500E	27	1548244	Vaginal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/595/GCA_000263595.1_ASM26359v1
SEQF2492	829	Gardnerella	vaginalis	284V	16	1650838	Vaginal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/435/GCA_000263435.1_ASM26343v1
SEQF2493	568	Lactobacillus	casei	CRF28	57	3036548	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/645/GCA_000309645.1_ASM30964v1
SEQF2494	568	Lactobacillus	casei	Lc-10	76	2951397	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/765/GCA_000309765.1_ASM30976v1
SEQF2495	568	Lactobacillus	casei	Lpc-37	150	3075253	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/785/GCA_000309785.1_ASM30978v1
SEQF2496	568	Lactobacillus	casei	M36	78	3152126	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/665/GCA_000309665.1_ASM30966v1
SEQF2497	615	Lactobacillus	gasseri	CECT 5714	85	1907790	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/135/GCA_000283135.1_ASM28313v1
SEQF2498	861	Lactobacillus	plantarum	UCMA 3037	68	3108278	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/515/GCA_000347515.1_Assemblage_de_novo
SEQF2499	749	Lactobacillus	rhamnosus	LRHMDP2	50	2911110	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/945/GCA_000311945.1_ASM31194v1
SEQF2500	749	Lactobacillus	rhamnosus	LRHMDP3	47	2911934	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/965/GCA_000311965.1_ASM31196v1
SEQF2501	214	Leptotrichia	shahii	DSM 19757	20	2144606	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/373/045/GCA_000373045.1_ASM37304v1
SEQF2502	222	Leptotrichia	wadei	DSM 19758	64	2316529	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/373/345/GCA_000373345.1_ASM37334v1
SEQF2505	836	Peptoniphilus	lacrimalis	DSM 7455	21	1849203	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/378/725/GCA_000378725.1_ASM37872v1
SEQF2506	542	Peptostreptococcus	anaerobius	DSM 2949	68	2106935	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/381/525/GCA_000381525.1_ASM38152v1
SEQF2507	619	Porphyromonas	gingivalis	JCVI SC001	1	2426396	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/305/GCA_000380305.1_PgingivalisJCVISC001v1.0
SEQF2508	289	Prevotella	maculosa	DSM 19339	60	3314235	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/382/385/GCA_000382385.1_ASM38238v1
SEQF2509	378	Prevotella	micans	DSM 21469	50	2435292	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/373/705/GCA_000373705.1_ASM37370v1
SEQF2510	311	Prevotella	oris	DSM 18711	46	3063215	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/377/685/GCA_000377685.1_ASM37768v1
SEQF2511	572	Prevotella	veroralis	DSM 19559	28	2845746	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/377/625/GCA_000377625.1_ASM37762v1
SEQF2513	477	Pseudomonas	stutzeri	TS44	78	4278818	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/395/GCA_000263395.1_ASM26339v1
SEQF2514	854	Ralstonia	pickettii	OR214	46	5480587	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/665/GCA_000372665.1_RalstonoaPickettii.strain_OR214_v1.0
SEQF2515	663	Stenotrophomonas	maltophilia	AU12-09	125	4547300	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/445/GCA_000346445.1_ASM34644v1
SEQF2516	537	Streptococcus	agalactiae	CF01173	131	2024610	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/435/GCA_000347435.1_ASM34743v1
SEQF2517	768	Streptococcus	sobrinus	DSM 20742	283	2096203	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/935/GCA_000347935.1_DSM20742_V1
SEQF2520	886	Streptococcus	cristatus clade 886	AS 1.3089	1	2142100	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/925/GCA_000385925.1_ASM38592v1
SEQF2521	477	Pseudomonas	stutzeri	DSM 10701	1	4174118	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/279/165/GCA_000279165.1_ASM27916v1
SEQF2522	552	Cutibacterium	avidum	44067	1	2526138	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/205/GCA_000367205.1_ASM36720v1
SEQF2523	705	Prevotella	oralis	HGA0225	7	2857367	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/355/GCA_000413355.1_Prev_oral_HGA0225_V1
SEQF2524	632	Mycoplasma	hominis	ATCC 27545	22	684158	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/075/GCA_000385075.1_ASM38507v1
